policy_name: rl_rvo_6_dis3  successful rate: 100.00% average EpLen: 78.62 std length 4.06 average speed: 1.09 std speed 0.05
policy_name: rl_rvo_10_dis3  successful rate: 100.00% average EpLen: 93.41 std length 9.52 average speed: 0.96 std speed 0.07
policy_name: rl_rvo_6_dis2  successful rate: 98.00% average EpLen: 68.51 std length 13.44 average speed: 0.77 std speed 0.14
policy_name: rl_rvo_10_dis2  successful rate: 94.00% average EpLen: 83.23 std length 16.62 average speed: 0.68 std speed 0.13
policy_name: rl_rvo_6_dis7  successful rate: 100.00% average EpLen: 53.91 std length 19.13 average speed: 0.68 std speed 0.15
policy_name: rl_rvo_10_dis7  successful rate: 99.00% average EpLen: 62.9 std length 18.48 average speed: 0.57 std speed 0.13
policy_name: rl_rvo_10_dis7  successful rate: 99.00% average EpLen: 29.46 std length 9.72 average speed: 0.44 std speed 0.1
policy_name: rl_rvo_10_dis7  successful rate: 1.00% average EpLen: 43.0 std length 0.0 average speed: 0.36 std speed 0.0
policy_name: rl_rvo_mode8_4_dis8  successful rate: 100.00% average EpLen: 41.1 std length 6.39 average speed: 1.05 std speed 0.14
policy_name: rl_rvo_mode8_4_dis8  successful rate: 1.00% average EpLen: 33.0 std length 0.0 average speed: 1.27 std speed 0.0
policy_name: rl_rvo_mode8_4_dis8  successful rate: 100.00% average EpLen: 43.59 std length 3.41 average speed: 0.93 std speed 0.07
policy_name: rl_rvo_mode8_4_dis8  successful rate: 1.00% average EpLen: 49.0 std length 0.0 average speed: 0.83 std speed 0.0
policy_name: rl_rvo_mode8_4_dis8  successful rate: 0.00% average EpLen: 0 std length 0 average speed: 0.11 std speed 0.0
policy_name: rl_rvo_mode8_4_dis8  successful rate: 0.00% average EpLen: 0 std length 0 average speed: 0.11 std speed 0.0
policy_name: rl_rvo_mode8_4_dis8  successful rate: 0.00% average EpLen: 0 std length 0 average speed: 0.11 std speed 0.0
policy_name: rl_rvo_mode8_4_dis8  successful rate: 0.00% average EpLen: 0 std length 0 average speed: 0.11 std speed 0.0
policy_name: rl_rvo_mode7_10_dis7  successful rate: 74.00% average EpLen: 37.49 std length 21.8 average speed: 0.3 std speed 0.17
